objective,n_new,mean_distance,max_distance,median_distance,p90_distance,pct_covered_15min,open_site_ids,open_site_names
min_pop_weighted,4,2258.6129487921867,8465.914881481025,2058.5488486953004,3793.87629275427,23.951074556621307,"[0, 1, 2, 3, 4, 12, 66, 69, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Fowler Pool Buiding', 'BROOKLINE LIBRARY', 'MAIN (OAKLAND) LIBRARY']"
min_pop_weighted,5,2085.703115425857,8465.914881481025,1892.4856778278213,3571.9620932596717,25.558596941183364,"[0, 1, 2, 3, 4, 11, 12, 66, 70, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY']"
min_pop_weighted,6,1960.9070383071178,8465.914881481025,1816.7660225572956,3334.823099934524,28.56143183083097,"[0, 1, 2, 3, 4, 11, 12, 66, 70, 71, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY', 'DOWNTOWN & BUSINESS LIBRARY', 'MAIN (OAKLAND) LIBRARY']"
min_pop_weighted,7,1853.5528736335566,8465.914881481025,1730.3800949620882,3073.3711686621255,31.36833060476561,"[0, 1, 2, 3, 4, 6, 11, 12, 66, 70, 71, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY', 'DOWNTOWN & BUSINESS LIBRARY', 'MAIN (OAKLAND) LIBRARY']"
min_pop_weighted,8,1764.9166728456366,8465.914881481025,1607.9344858285212,2941.4036383143807,33.33582864377708,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 67, 70, 79, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Hill House Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'WOODS RUN LIBRARY']"
min_pop_weighted,9,1694.9007537539671,5020.444336977867,1601.1648731182331,2888.2107360710515,34.1446347028248,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 40, 67, 70, 79, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Hill House Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'McBride Swimming Pool Building', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'WOODS RUN LIBRARY']"
min_pop_weighted,10,1625.8046064594926,5020.444336977867,1479.754113559253,2856.3045892175505,36.93037758386684,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 40, 67, 70, 79, 83, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Hill House Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'McBride Swimming Pool Building', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY', 'WOODS RUN LIBRARY']"
min_vuln_weighted,0,3924.4815348840916,10302.57895887431,3813.3371830093806,6556.0779244656105,9.996973079939982,"[0, 1, 2, 3, 4]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center']"
min_vuln_weighted,1,3347.285105742335,9223.083391385413,2898.0156338157935,6353.739530400429,13.815774484691271,"[0, 1, 2, 3, 4, 78]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED']"
min_vuln_weighted,2,2801.547243584582,8465.914881481025,2624.5687845146963,4994.399639439456,15.132321973161309,"[0, 1, 2, 3, 4, 66, 78]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Fowler Pool Buiding', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED']"
min_vuln_weighted,3,2444.4330315339325,8465.914881481025,2342.9164500206016,4006.602509812305,16.957912792154744,"[0, 1, 2, 3, 4, 66, 70, 78]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED']"
min_vuln_weighted,4,2245.220530458227,8465.914881481025,2130.4931059002834,3793.87629275427,19.8546427420641,"[0, 1, 2, 3, 4, 12, 39, 66, 70]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY']"
min_vuln_weighted,5,2056.3294452631085,8465.914881481025,1938.0789425015237,3380.8303349950047,22.41776053482097,"[0, 1, 2, 3, 4, 11, 12, 39, 66, 70]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY']"
